,Date,DSPI_ratio
0,01/01/1997,2.63272
1,07/01/1997,3.47366
2,01/01/1998,5.25283
3,07/01/1998,4.92656
4,01/01/1999,2.8319
5,07/01/1999,2.27785
6,01/01/2000,4.03393
7,07/01/2000,4.22917
8,01/01/2001,1.88531
9,07/01/2001,1.83091
10,01/01/2002,3.19305
11,07/01/2002,2.29673
12,01/01/2003,1.27409
13,07/01/2003,3.31852
14,01/01/2004,3.61722
15,07/01/2004,2.72909
16,01/01/2005,1.40273
17,07/01/2005,0.69353
18,01/01/2006,3.45805
19,07/01/2006,3.49393
20,01/01/2007,2.47515
21,07/01/2007,1.46838
22,01/01/2008,0.635
23,07/01/2008,-0.29664
24,01/01/2009,-0.03233
25,07/01/2009,0.16367
26,01/01/2010,0.79181
27,07/01/2010,3.33409
28,01/01/2011,2.50355
29,07/01/2011,1.00739
30,01/01/2012,2.77266
31,07/01/2012,3.51769
32,01/01/2013,-1.44433
