Date,inflation
01/01/1960,1.45797598627786
01/01/1961,1.07072414764723
01/01/1962,1.19877334820185
01/01/1963,1.2396694214876
01/01/1964,1.27891156462583
01/01/1965,1.58516926383669
01/01/1966,3.01507537688439
01/01/1967,2.77278562259307
01/01/1968,4.27179615288534
01/01/1969,5.4623862002875
01/01/1970,5.83825533848253
01/01/1971,4.29276668813045
01/01/1972,3.27227824655283
01/01/1973,6.17776006377041
01/01/1974,11.0548048048048
01/01/1975,9.14314686496534
01/01/1976,5.74481263549085
01/01/1977,6.50168399472839
01/01/1978,7.63096383885602
01/01/1979,11.2544711292795
01/01/1980,13.5492019749684
01/01/1981,10.3347153402771
01/01/1982,6.13142700027494
01/01/1983,3.21243523316063
01/01/1984,4.30053547523427
01/01/1985,3.54564415209369
01/01/1986,1.89804772234275
01/01/1987,3.66456321751691
01/01/1988,4.07774110744408
01/01/1989,4.82700303008949
01/01/1990,5.39795643990322
01/01/1991,4.23496396453853
01/01/1992,3.0288196781497
01/01/1993,2.95165696638554
01/01/1994,2.6074415921546
01/01/1995,2.80541968853655
01/01/1996,2.9312041999344
01/01/1997,2.33768993730741
01/01/1998,1.55227909874362
01/01/1999,2.18802719697358
01/01/2000,3.37685727149935
01/01/2001,2.82617111885402
01/01/2002,1.58603162650603
01/01/2003,2.27009497336113
01/01/2004,2.67723669309173
01/01/2005,3.39274684549547
01/01/2006,3.22594410070407
01/01/2007,2.85267248150136
01/01/2008,3.83910029665101
01/01/2009,-0.35554626629975
01/01/2010,1.64004344238989
01/01/2011,3.15684156862206
01/01/2012,2.06933726526059
01/01/2013,1.46483265562714
01/01/2014,1.62222297740821
01/01/2015,0.118627135552435
01/01/2016,1.26158320570537
01/01/2017,2.13011000365963
01/01/2018,2.44258329692818
01/01/2019,1.81221007526015
01/01/2020,1.23358439630637
