DATE,DSPI_CPIAUCSL_NBD20130101
1997-01-01,2.63272
1997-07-01,3.47366
1998-01-01,5.25283
1998-07-01,4.92656
1999-01-01,2.83190
1999-07-01,2.27785
2000-01-01,4.03393
2000-07-01,4.22917
2001-01-01,1.88531
2001-07-01,1.83091
2002-01-01,3.19305
2002-07-01,2.29673
2003-01-01,1.27409
2003-07-01,3.31852
2004-01-01,3.61722
2004-07-01,2.72909
2005-01-01,1.40273
2005-07-01,0.69353
2006-01-01,3.45805
2006-07-01,3.49393
2007-01-01,2.47515
2007-07-01,1.46838
2008-01-01,0.63500
2008-07-01,-0.29664
2009-01-01,-0.03233
2009-07-01,0.16367
2010-01-01,0.79181
2010-07-01,3.33409
2011-01-01,2.50355
2011-07-01,1.00739
2012-01-01,2.77266
2012-07-01,3.51769
2013-01-01,-1.44433
